Organization Name,Use Case Name,Submission Date and Time (UTC),Reference Number,Submission Status,Organization Status
Schneider Electric Ireland Limited,Update Members,2026-06-08 11:47:39.653000Z,177734M,Received,Active
Schneider Electric Ireland Limited,Update Members,2026-06-08 11:19:41.088000Z,177734M,Submitted,Active
Demonware Limited,Update Members,2026-06-08 10:20:17.770000Z,175380M,Completed,Active
Sandvik Mining and Construction Logistics,Update Members,2026-06-07 14:09:11.925000Z,156330M,Completed,Active
Glennon Employee Benefits,Update Members,2026-06-05 14:38:03.712000Z,177110M,Received,Active
Glennon Employee Benefits,Update Members,2026-06-05 14:15:09.050000Z,177110M,Submitted,Active
Shopify International Limited,Update Members,2026-06-05 14:14:35.132000Z,174102M,Completed,Active
Aldi Stores Ireland,Update Members,2026-06-05 14:11:40.692000Z,172834M,Completed,Active
Renaissance Services of Europe Limited,Update Members,2026-06-05 13:44:20.475000Z,152931M,Completed,Active
Nomadic Dairy Limited,Update Members,2026-06-05 12:41:02.733000Z,171268M,Cancelled,Active
Source Galileo Ireland Limited,Update Members,2026-06-05 12:41:02.410000Z,174227M,Cancelled,Active
Failte Ireland,Update Members,2026-06-05 11:24:22.113000Z,176992M,Received,Active
Failte Ireland,Update Members,2026-06-05 11:02:35.095000Z,176992M,Submitted,Active
Grifols Worldwide Operations Ltd,Update Members,2026-06-05 10:51:26.665000Z,174278M,Completed,Active
Swim Ireland,Update Members,2026-06-05 10:25:15.838000Z,176955M,Received,Active
Swim Ireland,Update Members,2026-06-05 10:10:06.288000Z,176955M,Submitted,Active
Coillte Teoranta,Update Members,2026-06-05 09:59:07.581000Z,176940M,Received,Active
Coillte Teoranta,Update Members,2026-06-05 09:45:32.185000Z,176940M,Submitted,Active
Darwin,Update Members,2026-06-05 09:15:31.483000Z,167117M,Completed,Active
MeiraGTx Ireland DAC,Update Members,2026-06-05 08:56:26.303000Z,176905M,Received,Active
MeiraGTx Ireland DAC,Update Members,2026-06-05 08:56:18.693000Z,176901M,Received,Active
MeiraGTx Ireland DAC,Update Members,2026-06-05 08:41:00.008000Z,176905M,Submitted,Active
MeiraGTx Ireland DAC,Update Members,2026-06-05 08:37:29.949000Z,176901M,Submitted,Active
Unio Employee Benefits,Update Members,2026-06-05 08:17:23.741000Z,176871M,Received,Active
Unio Employee Benefits,Update Members,2026-06-05 07:53:32.278000Z,176871M,Submitted,Active
Tenable Network Security Ireland Limited,Update Members,2026-06-04 15:17:53.662000Z,160543M,Completed,Active
Brinks Cash Services  Ireland  Limited,Update Members,2026-06-04 14:42:38.720000Z,167186M,Cancelled,Active
Firhouse Credit Union Ltd,Update Members,2026-06-04 14:42:05.858000Z,173322M,Cancelled,Active
Prosper Group Fingal and Meath,Update Members,2026-06-04 14:37:37.156000Z,173626M,Completed,Active
Darwin,Update Members,2026-06-04 13:45:23.351000Z,167115M,Completed,Active
Prosper Group Fingal and Meath,Update Members,2026-06-04 13:08:50.158000Z,173625M,Completed,Active
Intercom R and D Unlimited Company,Update Members,2026-06-04 12:04:16.568000Z,173606M,Completed,Active
